z_volt	Amp	Phase	DC	Amp_direct	Phase_direct	X	Y
-1.232541	6.567485	-0.173216	-2.147781	6.885100	-0.623173	6.469206	-1.131913
-1.227541	6.576919	-0.170875	-2.145846	6.705202	-0.244682	6.481135	-1.118372
-1.222541	6.535622	-0.156265	-2.149070	6.907990	-0.501631	6.455988	-1.017140
-1.217541	6.513942	-0.178425	-2.147781	6.585270	-0.378153	6.410530	-1.156092
-1.212541	6.629256	-0.162363	-2.150360	7.098851	-0.510658	6.542068	-1.071625
-1.207541	6.487500	-0.170783	-2.148748	6.632985	-0.452949	6.393120	-1.102575
-1.202541	6.558340	-0.170067	-2.149715	7.060163	-0.453594	6.463726	-1.109990
-1.197541	6.582009	-0.166072	-2.150682	6.535620	-0.486478	6.491452	-1.088067
-1.192541	6.612544	-0.166781	-2.153261	7.056616	-0.358487	6.520790	-1.097739
-1.187541	6.635315	-0.168716	-2.153906	6.698431	-0.530324	6.541101	-1.114181
-1.182541	6.640455	-0.172920	-2.154551	6.975049	-0.407491	6.541424	-1.142552
-1.177541	6.592593	-0.159856	-2.155196	6.753239	-0.561918	6.508539	-1.049380
-1.172541	6.562867	-0.151287	-2.155196	6.785801	-0.330761	6.487905	-0.989092
-1.167541	6.660150	-0.167541	-2.152294	6.788381	-0.575137	6.566893	-1.110635
-1.162541	6.616478	-0.162630	-2.155196	6.628149	-0.358810	6.529172	-1.071303
